film_id,event_id,scene_id,utterance_id,scene_position_pct,speaker,raw_speaker,character_id,canonical_name,text,word_count,utterance_type,addressee,addressee_type,line_number,parenthetical,cue_type,gender,gender_rationale,is_named,is_protagonist,included_in_network,parser_canonical_name,confidence
coco_2017,1,coco_2017_s001,coco_2017_s001_u0001,0.0,MIGUEL,MIGUEL (V.O.),coco_2017_miguel,Miguel,Sometimes I think I'm cursed... 'cause of something that happened before I was even born.,15,spoken,monologue,monologue,29,,indented,M,,1,1,1,Miguel,high
coco_2017,2,coco_2017_s001,coco_2017_s001_u0002,0.0,MIGUEL,MIGUEL (V.O.),coco_2017_miguel,Miguel,"See, a long time ago there was this family.",9,spoken,monologue,monologue,36,,indented,M,,1,1,1,Miguel,high
coco_2017,3,coco_2017_s001,coco_2017_s001_u0003,0.0,MIGUEL,MIGUEL (V.O.),coco_2017_miguel,Miguel,"The pap , he was a musician.",7,spoken,monologue,monologue,43,,indented,M,,1,1,1,Miguel,high
coco_2017,4,coco_2017_s001,coco_2017_s001_u0004,0.0,MIGUEL,MIGUEL (V.O.),coco_2017_miguel,Miguel,"He and his family would sing, and dance, and count their blessings... But he also had a dream... to play for the world. And one day he left with his guitar... and never returned.",34,spoken,monologue,monologue,49,(beat) | (beat),indented,M,,1,1,1,Miguel,high
coco_2017,5,coco_2017_s001,coco_2017_s001_u0005,0.0,MIGUEL,MIGUEL (V.O.),coco_2017_miguel,Miguel,And the mam ...? She didn't have time to cry over that walkaway musician! After banishing all music from her life...,21,spoken,monologue,monologue,67,(beat),indented,M,,1,1,1,Miguel,high
coco_2017,6,coco_2017_s001,coco_2017_s001_u0006,0.0,MIGUEL,MIGUEL (V.O.),coco_2017_miguel,Miguel,She found a way to provide for her daughter... She rolled up her sleeves and she learned to make shoes. She could have made candy!,25,spoken,monologue,monologue,78,(beat) | (beat),indented,M,,1,1,1,Miguel,high
coco_2017,7,coco_2017_s001,coco_2017_s001_u0007,0.0,MIGUEL,MIGUEL (V.O.),coco_2017_miguel,Miguel,Or fireworks!,2,spoken,monologue,monologue,90,,indented,M,,1,1,1,Miguel,high
coco_2017,8,coco_2017_s001,coco_2017_s001_u0008,0.0,MIGUEL,MIGUEL (V.O.),coco_2017_miguel,Miguel,Or sparkly underwear for wrestlers!,5,spoken,monologue,monologue,95,,indented,M,,1,1,1,Miguel,high
coco_2017,9,coco_2017_s001,coco_2017_s001_u0009,0.0,MIGUEL,MIGUEL (V.O.),coco_2017_miguel,Miguel,But no... she chose shoes...,5,spoken,monologue,monologue,101,,indented,M,,1,1,1,Miguel,high
coco_2017,10,coco_2017_s001,coco_2017_s001_u0010,0.0,MIGUEL,MIGUEL (V.O.),coco_2017_miguel,Miguel,"Then she taught her daughter to make shoes. And later, she taught her son-in-law.",14,spoken,monologue,monologue,106,,indented,M,,1,1,1,Miguel,high
