film_id,event_id,scene_id,utterance_id,scene_position_pct,speaker,raw_speaker,character_id,canonical_name,text,word_count,utterance_type,addressee,addressee_type,line_number,parenthetical,cue_type,gender,gender_rationale,is_named,is_protagonist,included_in_network,parser_canonical_name,confidence
monsters_inc_2001,1,monsters_inc_2001_s001,monsters_inc_2001_s001_u0001,0.0,Computerized Voice,Computerized Voice,monsters_inc_2001_computerized_voice,Computerized Voice,Simulation terminated. Simulation terminated. Simulation terminated. Simulation terminated. Simulation terminated.,10,spoken,group,group,10,"(Work lights flash on, flooding the room with light. The boy, now revealed to be an animatronic, winds down and resets. One wall of the bedroom starts to rise like a garage door opening, revealing the bedroom to be just a set, a simulator where monsters practice their scare tactics. Behind a control console sits an evaluator, the dragon/lizard hybrid-like Ms. Flint. Judging by her tone, she's been through this before.)",inline_colon,F,,1,0,0,Computerized Voice,high
monsters_inc_2001,2,monsters_inc_2001_s001,monsters_inc_2001_s001_u0002,0.0,Ms. Flint,Ms. Flint,monsters_inc_2001_ms_flint,Ms. Flint,"Alright, Mr. Bile, is it?",5,spoken,monsters_inc_2001_bile,individual,12,,inline_colon,F,,1,0,1,Ms. Flint,high
monsters_inc_2001,3,monsters_inc_2001_s001,monsters_inc_2001_s001_u0003,0.0,Bile,Bile,monsters_inc_2001_bile,Bile,"Uh, my friends call me Phlegm.",6,spoken,monsters_inc_2001_ms_flint,individual,13,,inline_colon,M,,1,0,0,Bile,high
monsters_inc_2001,4,monsters_inc_2001_s001,monsters_inc_2001_s001_u0004,0.0,Ms. Flint,Ms. Flint,monsters_inc_2001_ms_flint,Ms. Flint,"Uh-huh. Mr. Bile, can you tell me what you did wrong?",11,spoken,monsters_inc_2001_bile,individual,14,,inline_colon,F,,1,0,1,Ms. Flint,high
monsters_inc_2001,5,monsters_inc_2001_s001,monsters_inc_2001_s001_u0005,0.0,Bile,Bile,monsters_inc_2001_bile,Bile,I fell down?,3,spoken,monsters_inc_2001_ms_flint,individual,15,,inline_colon,M,,1,0,0,Bile,high
monsters_inc_2001,6,monsters_inc_2001_s001,monsters_inc_2001_s001_u0006,0.0,Ms. Flint,Ms. Flint,monsters_inc_2001_ms_flint,Ms. Flint,"No, no, before that. Can anyone tell me Mr. Bile's big mistake? Anyone? Pupil 1:",15,spoken,group,group,16,"(Next point of views shows three pathetic-looking monsters taking notes. Judging from their looks, they don't seem to know much about proper scaring.)",inline_colon,F,,1,0,1,Ms. Flint,high
monsters_inc_2001,7,monsters_inc_2001_s001,monsters_inc_2001_s001_u0007,0.0,Ms. Flint,Ms. Flint,monsters_inc_2001_ms_flint,Ms. Flint,Let's take a look at the tape. Here we go.,10,spoken,group,group,19,"(Ms. Flint rewinds the tape. Bile enters the bedroom, leaving the door wide open.)",inline_colon,F,,1,0,1,Ms. Flint,high
monsters_inc_2001,8,monsters_inc_2001_s001,monsters_inc_2001_s001_u0008,0.0,Ms. Flint,Ms. Flint,monsters_inc_2001_ms_flint,Ms. Flint,Right... p-p-p-p-p- Ah! See? The door! You left it wide open.,11,spoken,monsters_inc_2001_bile,individual,21,,inline_colon,F,,1,0,1,Ms. Flint,high
monsters_inc_2001,9,monsters_inc_2001_s001,monsters_inc_2001_s001_u0009,0.0,Pupils and Bile,Pupils and Bile,monsters_inc_2001_pupils_and_bile,Pupils And Bile,Oooh.,1,spoken,monsters_inc_2001_ms_flint,individual,22,,inline_colon,Both,,0,0,0,Pupils And Bile,medium
monsters_inc_2001,10,monsters_inc_2001_s001,monsters_inc_2001_s001_u0010,0.0,Ms. Flint,Ms. Flint,monsters_inc_2001_ms_flint,Ms. Flint,And leaving a door open is the worst mistake any employee can make because...?,14,spoken,group,group,23,,inline_colon,F,,1,0,1,Ms. Flint,high
monsters_inc_2001,11,monsters_inc_2001_s001,monsters_inc_2001_s001_u0011,0.0,Bile,Bile,monsters_inc_2001_bile,Bile,Um... it could... let in a draft?,7,spoken,monsters_inc_2001_ms_flint,individual,24,"(Suddenly a sharp, strict voice bellows)",inline_colon,M,,1,0,0,Bile,high
monsters_inc_2001,12,monsters_inc_2001_s001,monsters_inc_2001_s001_u0012,0.0,Waternoose,Waternoose,monsters_inc_2001_waternoose,Waternoose,It could let in a child!,6,spoken,group,group,26,,inline_colon,M,,1,0,1,Waternoose,high
monsters_inc_2001,13,monsters_inc_2001_s001,monsters_inc_2001_s001_u0013,0.0,Ms. Flint,Ms. Flint,monsters_inc_2001_ms_flint,Ms. Flint,Oh! Mr. Waternoose!,3,spoken,monsters_inc_2001_waternoose,individual,27,(Pupils gasp with surprise),inline_colon,F,,1,0,1,Ms. Flint,high
monsters_inc_2001,14,monsters_inc_2001_s001,monsters_inc_2001_s001_u0014,0.0,Waternoose,Waternoose,monsters_inc_2001_waternoose,Waternoose,There's nothing more toxic or deadly than a human child. A single touch could KILL YOU!,16,spoken,group,group,29,(Bile steps away from the animatronic child nervously upon hearing that.),inline_colon,M,,1,0,1,Waternoose,high
monsters_inc_2001,15,monsters_inc_2001_s001,monsters_inc_2001_s001_u0015,0.0,Waternoose,Waternoose,monsters_inc_2001_waternoose,Waternoose,"Leave a door open, and a child could walk right into this factory! Right into the monster world! Pupil 2: I won't go in a kid's room! You can't make me!",31,spoken,group,group,31,,inline_colon,M,,1,0,1,Waternoose,high
monsters_inc_2001,16,monsters_inc_2001_s001,monsters_inc_2001_s001_u0016,0.0,Waternoose,Waternoose,monsters_inc_2001_waternoose,Waternoose,You're going in there! Because we need this!,8,spoken,group,group,33,"(Waternoose unlocks the armor can, and the sound of children's screams leak out. The lights surge, and monitors crackle. The pupils cover their ears. Waternoose corks the armor can. The electricity stops surging.)",inline_colon,M,,1,0,1,Waternoose,high
monsters_inc_2001,17,monsters_inc_2001_s001,monsters_inc_2001_s001_u0017,0.0,Waternoose,Waternoose,monsters_inc_2001_waternoose,Waternoose,"Our city is counting on you to collect those children's screams. Without scream, we have no power. Yes, it's dangerous work, and that's why I need you to be at your best. I need scarers who are confident, tenacious, tough, intimidating. I need scarers like... like... James P. Sullivan. Advertisement",50,spoken,group,group,35,,inline_colon,M,,1,0,1,Waternoose,high
monsters_inc_2001,18,monsters_inc_2001_s002,monsters_inc_2001_s002_u0018,0.037,Mike,Mike,monsters_inc_2001_mike,Mike,"Hey, good morning, Monstropolis. It's now five after the hour of 6:00 A.M. in the big monster city. Temperature's a balmy 65 degrees, which is good news for you reptiles, and it looks like it's gonna be a perfect day to maybe, hey, just lie in bed, sleep in, or simply... ...WORK OUT THAT FLAB THAT'S HANGIN' OVER THE BED! GET UP, SULLEY!",63,spoken,group,group,40,[imitating Sulley's radio],inline_colon,M,,1,1,1,Mike,high
monsters_inc_2001,19,monsters_inc_2001_s002,monsters_inc_2001_s002_u0019,0.037,Sulley,Sulley,monsters_inc_2001_sulley,Sulley,AHH! AHH! AAAHH!,3,spoken,monologue,monologue,41,"(In the living room, Sulley drops to the floor for push-ups. Mike stands in front of him barking orders like a coach.)",inline_colon,M,,1,1,1,Sulley,high
monsters_inc_2001,20,monsters_inc_2001_s002,monsters_inc_2001_s002_u0020,0.037,Sulley,Sulley,monsters_inc_2001_sulley,Sulley,"I don't believe I ordered a wake-up call, Mikey.",9,spoken,monsters_inc_2001_mike,individual,43,,inline_colon,M,,1,1,1,Sulley,high
monsters_inc_2001,21,monsters_inc_2001_s002,monsters_inc_2001_s002_u0021,0.037,Mike,Mike,monsters_inc_2001_mike,Mike,"Hey, less talk, more pain, marshmallow boy! Feel the burn!",10,spoken,monsters_inc_2001_sulley,individual,44,"(Between each push-up, Sulley springs into the air, striking a fearsome pose and roaring.)",inline_colon,M,,1,1,1,Mike,high
