film_id,event_id,scene_id,utterance_id,scene_position_pct,speaker,raw_speaker,character_id,canonical_name,text,word_count,utterance_type,addressee,addressee_type,line_number,parenthetical,cue_type,gender,gender_rationale,is_named,is_protagonist,included_in_network,parser_canonical_name,confidence
up,1,up_s001,up_s001_u0001,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (O.S.),up_newsreel_announcer,Newsreel Announcer,"This lighter-than-air craft was designed by Muntz himself, and is longer than 22 Prohibition paddy- wagons placed end to end.",20,spoken,group,unclear,66,,indented,M,,False,False,False,Newsreel Announcer,high
up,2,up_s001,up_s001_u0002,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,And here comes the adventurer now!,6,spoken,group,unclear,80,,indented,M,,False,False,False,Newsreel Announcer,high
up,3,up_s001,up_s001_u0003,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,"Never apart from his faithful dogs, Muntz conceived the craft for canine comfort! It's a veritable floating palace in the sky...",21,spoken,group,unclear,89,,indented,M,,False,False,False,Newsreel Announcer,high
up,4,up_s001,up_s001_u0004,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,...complete with doggie bath and mechanical canine walker.,8,spoken,group,unclear,101,,indented,M,,False,False,False,Newsreel Announcer,high
up,5,up_s001,up_s001_u0005,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,"And Jiminy Cricket, do the locals consider Muntz the bee's knees! And how!",13,spoken,group,unclear,111,,indented,M,,False,False,False,Newsreel Announcer,high
up,6,up_s001,up_s001_u0006,0.0,MUNTZ,MUNTZ,up_muntz,Muntz,"""Adventure is out there!""",4,spoken,group,unclear,123,,indented,M,,True,False,True,Muntz,high
up,7,up_s001,up_s001_u0007,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,But what has Muntz brought back this time?,8,spoken,group,unclear,129,,indented,M,,False,False,False,Newsreel Announcer,high
up,8,up_s001,up_s001_u0008,0.0,MUNTZ,MUNTZ,up_muntz,Muntz,"Gentlemen, I give you: the Monster of Paradise Falls!",9,spoken,group,unclear,139,,indented,M,,True,False,True,Muntz,high
up,9,up_s001,up_s001_u0009,0.0,CROWD,CROWD,up_crowd,Crowd,Ooh!,1,spoken,group,unclear,147,,indented,Both,,False,False,False,Crowd,high
up,10,up_s001,up_s001_u0010,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,"And golly, what a swell monster this is. But what's this?",11,spoken,group,unclear,153,,indented,M,,False,False,False,Newsreel Announcer,high
up,11,up_s001,up_s001_u0011,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,Scientists cry foul! The National Explorers Society accuses Muntz of fabricating the skeleton!,13,spoken,group,unclear,162,,indented,M,,False,False,False,Newsreel Announcer,high
up,12,up_s001,up_s001_u0012,0.0,YOUNG CARL,YOUNG CARL,up_carl,Carl,No!,1,spoken,monologue,unclear,170,,indented,M,,True,True,True,Carl,high
up,13,up_s001,up_s001_u0013,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,The organization strips Muntz of his membership.,7,spoken,group,unclear,178,,indented,M,,False,False,False,Newsreel Announcer,high
up,14,up_s001,up_s001_u0014,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,"Humiliated, Muntz vows a return to Paradise Falls and promises to capture the beast... alive!",15,spoken,group,unclear,194,,indented,M,,False,False,False,Newsreel Announcer,high
up,15,up_s001,up_s001_u0015,0.0,MUNTZ,MUNTZ,up_muntz,Muntz,I promise to capture the beast... alive!,7,spoken,group,unclear,202,,indented,M,,True,False,True,Muntz,high
