film_id,event_id,scene_id,utterance_id,scene_position_pct,speaker,raw_speaker,character_id,canonical_name,text,word_count,utterance_type,addressee,addressee_type,line_number,parenthetical,cue_type,gender,gender_rationale,is_named,is_protagonist,included_in_network,parser_canonical_name,confidence
findingnemo,1,findingnemo_s001,findingnemo_s001_u0001,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,Wow.,1,spoken,findingnemo_coral,individual,48,,standalone,M,,TRUE,TRUE,TRUE,Marlin,medium
findingnemo,2,findingnemo_s001,findingnemo_s001_u0002,0.0,CORAL,CORAL,findingnemo_coral,Coral,Mmm.,1,spoken,findingnemo_marlin,individual,52,,standalone,F,,TRUE,FALSE,TRUE,Coral,medium
findingnemo,3,findingnemo_s001,findingnemo_s001_u0003,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,Wow.,1,spoken,findingnemo_coral,individual,56,,standalone,M,,TRUE,TRUE,TRUE,Marlin,medium
findingnemo,4,findingnemo_s001,findingnemo_s001_u0004,0.0,CORAL,CORAL,findingnemo_coral,Coral,Mmm-hmm.,1,spoken,findingnemo_marlin,individual,60,,standalone,F,,TRUE,FALSE,TRUE,Coral,medium
findingnemo,5,findingnemo_s001,findingnemo_s001_u0005,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,Wow.,1,spoken,findingnemo_coral,individual,64,,standalone,M,,TRUE,TRUE,TRUE,Marlin,medium
findingnemo,6,findingnemo_s001,findingnemo_s001_u0006,0.0,CORAL,CORAL,findingnemo_coral,Coral,"Yes, Marlin. No, I see it. It's beautiful.",8,spoken,findingnemo_marlin,individual,68,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,7,findingnemo_s001,findingnemo_s001_u0007,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,"So, Coral, when you said you wanted an ocean view, you didn't think that we we're gonna get the whole ocean, did you? Huh? Oh yeah. A fish can breath out here. Did your man deliver or did he deliver?",40,spoken,findingnemo_coral,individual,72,[sighs],standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,8,findingnemo_s001,findingnemo_s001_u0008,0.0,CORAL,CORAL,findingnemo_coral,Coral,My man delivered.,3,spoken,findingnemo_marlin,individual,81,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,9,findingnemo_s001,findingnemo_s001_u0009,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,And it wasn't so easy.,5,spoken,findingnemo_coral,individual,85,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,10,findingnemo_s001,findingnemo_s001_u0010,0.0,CORAL,CORAL,findingnemo_coral,Coral,Because a lot of other clownfish had their eyes on this place.,12,spoken,findingnemo_marlin,individual,89,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,11,findingnemo_s001,findingnemo_s001_u0011,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,You better believe they did--every single one of them.,9,spoken,findingnemo_coral,individual,93,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,12,findingnemo_s001,findingnemo_s001_u0012,0.0,CORAL,CORAL,findingnemo_coral,Coral,Mm-hmm. You did good. And the neighborhood is awesome.,9,spoken,findingnemo_marlin,individual,97,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,13,findingnemo_s001,findingnemo_s001_u0013,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,"So, you do like it, don't you?",7,spoken,findingnemo_coral,individual,101,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,14,findingnemo_s001,findingnemo_s001_u0014,0.0,CORAL,CORAL,findingnemo_coral,Coral,"No, no. I do, I do. I really do like it. But Marlin, I know that the drop off is desirable with the great schools and the amazing view and all, but do we really need so much space?",39,spoken,findingnemo_marlin,individual,105,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,15,findingnemo_s001,findingnemo_s001_u0015,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,"Coral, honey, these are our kids we're talking about. They deserve the best. Look, look, look. They'll wake up, poke their little heads out and they'll see a whale! See, right by their bedroom window.",35,spoken,findingnemo_coral,individual,111,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,16,findingnemo_s001,findingnemo_s001_u0016,0.0,CORAL,CORAL,findingnemo_coral,Coral,"Shhh, you're gonna wake the kids.",6,spoken,findingnemo_marlin,individual,119,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,17,findingnemo_s001,findingnemo_s001_u0017,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,"Oh, right. Right.",3,spoken,findingnemo_coral,individual,123,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,18,findingnemo_s001,findingnemo_s001_u0018,0.0,CORAL,CORAL,findingnemo_coral,Coral,"Aww, look. They're dreaming. We still have to name them.",10,spoken,findingnemo_marlin,individual,127,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,19,findingnemo_s001,findingnemo_s001_u0019,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,"You wanna name all of 'em, right now? All right, we'll name this half Marlin Jr. and then this half Coral Jr. Okay, we're done.",25,spoken,findingnemo_coral,individual,131,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,20,findingnemo_s001,findingnemo_s001_u0020,0.0,CORAL,CORAL,findingnemo_coral,Coral,I like Nemo.,3,spoken,findingnemo_marlin,individual,137,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,21,findingnemo_s001,findingnemo_s001_u0021,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,"Nemo? Well, we'll name one Nemo but I'd like most of them to be Marlin Jr.",16,spoken,findingnemo_coral,individual,141,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,22,findingnemo_s001,findingnemo_s001_u0022,0.0,CORAL,CORAL,findingnemo_coral,Coral,"Just think that in a couple of days, we're gonna be parents!",12,spoken,findingnemo_marlin,individual,145,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,23,findingnemo_s001,findingnemo_s001_u0023,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,Yeah. What if they don't like me?,7,spoken,findingnemo_coral,individual,149,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,24,findingnemo_s001,findingnemo_s001_u0024,0.0,CORAL,CORAL,findingnemo_coral,Coral,Marlin.,1,spoken,findingnemo_marlin,individual,153,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,25,findingnemo_s001,findingnemo_s001_u0025,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,"No, really.",2,spoken,findingnemo_coral,individual,157,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,26,findingnemo_s001,findingnemo_s001_u0026,0.0,CORAL,CORAL,findingnemo_coral,Coral,"There's over 400 eggs. Odds are, one of them is bound to like you.",14,spoken,findingnemo_marlin,individual,161,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,27,findingnemo_s001,findingnemo_s001_u0027,0.0,CORAL,CORAL,findingnemo_coral,Coral,What?,1,spoken,findingnemo_marlin,individual,165,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,28,findingnemo_s001,findingnemo_s001_u0028,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,You remember how we met?,5,spoken,findingnemo_coral,individual,169,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,29,findingnemo_s001,findingnemo_s001_u0029,0.0,CORAL,CORAL,findingnemo_coral,Coral,"Well, I try not to.",5,spoken,findingnemo_marlin,individual,173,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,30,findingnemo_s001,findingnemo_s001_u0030,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,"Well, I remember. 'Excuse me, miss, can you check and see if there's a hook in my lip?'",18,spoken,findingnemo_coral,individual,177,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,31,findingnemo_s001,findingnemo_s001_u0031,0.0,CORAL,CORAL,findingnemo_coral,Coral,Marlin!,1,spoken,findingnemo_marlin,individual,181,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,32,findingnemo_s001,findingnemo_s001_u0032,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,"'Well, you gotta look a little closer because it's wiggling'.",10,spoken,findingnemo_coral,individual,185,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,33,findingnemo_s001,findingnemo_s001_u0033,0.0,CORAL,CORAL,findingnemo_coral,Coral,Get away!,2,spoken,findingnemo_marlin,individual,190,,standalone,F,,TRUE,FALSE,TRUE,Coral,high
findingnemo,34,findingnemo_s001,findingnemo_s001_u0034,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,Here he is. Cutie's here! Where did everybody go?,9,spoken,group,unclear,194,,standalone,M,,TRUE,TRUE,TRUE,Marlin,medium
findingnemo,35,findingnemo_s001,findingnemo_s001_u0035,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,"Coral, get inside the house, Coral. No, Coral, don't. They'll be fine. Just get inside, you, right now.",18,spoken,findingnemo_coral,individual,198,[gasps],standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,36,findingnemo_s001,findingnemo_s001_u0036,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,No!,1,spoken,non_human,non_human,204,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,37,findingnemo_s001,findingnemo_s001_u0037,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,Coral! Coral?,2,spoken,findingnemo_coral,individual,208,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,38,findingnemo_s001,findingnemo_s001_u0038,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,Coral? Oh!,2,spoken,monologue,monologue,212,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,39,findingnemo_s001,findingnemo_s001_u0039,0.0,MARLIN,MARLIN,findingnemo_marlin,Marlin,"Ohh. There, there, there. It's okay, daddy's here. Daddy's got you. I promise, I will never let anything happen to you...Nemo.",21,spoken,findingnemo_nemo,individual,216,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,40,findingnemo_s002,findingnemo_s002_u0040,0.0417,NEMO,NEMO,findingnemo_nemo,Nemo,"First day of school! First day of school! Wake up, wake up! C'mon, first day of school!",17,spoken,findingnemo_marlin,individual,224,,standalone,M,,TRUE,FALSE,TRUE,Nemo,high
findingnemo,41,findingnemo_s002,findingnemo_s002_u0041,0.0417,MARLIN,MARLIN,findingnemo_marlin,Marlin,I don't wanna go to school. Five more minutes.,9,spoken,findingnemo_nemo,individual,228,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,42,findingnemo_s002,findingnemo_s002_u0042,0.0417,NEMO,NEMO,findingnemo_nemo,Nemo,"Not you, dad. Me!",4,spoken,findingnemo_marlin,individual,232,,standalone,M,,TRUE,FALSE,TRUE,Nemo,high
findingnemo,43,findingnemo_s002,findingnemo_s002_u0043,0.0417,MARLIN,MARLIN,findingnemo_marlin,Marlin,Okay...huh?,1,spoken,findingnemo_nemo,individual,236,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,44,findingnemo_s002,findingnemo_s002_u0044,0.0417,NEMO,NEMO,findingnemo_nemo,Nemo,"Get up, get up! It's time for school! It's time for school! It's time for school! It's time for school! Oh boy! Oh boy!",24,spoken,findingnemo_marlin,individual,240,,standalone,M,,TRUE,FALSE,TRUE,Nemo,high
findingnemo,45,findingnemo_s002,findingnemo_s002_u0045,0.0417,MARLIN,MARLIN,findingnemo_marlin,Marlin,"All right, I'm up.",4,spoken,findingnemo_nemo,individual,246,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,46,findingnemo_s002,findingnemo_s002_u0046,0.0417,NEMO,NEMO,findingnemo_nemo,Nemo,Oh boy--whoa!,2,spoken,monologue,monologue,250,,standalone,M,,TRUE,FALSE,TRUE,Nemo,high
findingnemo,47,findingnemo_s002,findingnemo_s002_u0047,0.0417,MARLIN,MARLIN,findingnemo_marlin,Marlin,Nemo!,1,spoken,findingnemo_nemo,individual,254,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,48,findingnemo_s002,findingnemo_s002_u0048,0.0417,NEMO,NEMO,findingnemo_nemo,Nemo,First day of school!,4,spoken,findingnemo_marlin,individual,258,,standalone,M,,TRUE,FALSE,TRUE,Nemo,high
findingnemo,49,findingnemo_s002,findingnemo_s002_u0049,0.0417,MARLIN,MARLIN,findingnemo_marlin,Marlin,"Nemo, don't move! Don't move! You'll never get out of there yourself. I'll do it. All right, where's the break? You feel a break?",24,spoken,findingnemo_nemo,individual,262,[gasps],standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,50,findingnemo_s002,findingnemo_s002_u0050,0.0417,NEMO,NEMO,findingnemo_nemo,Nemo,No.,1,spoken,findingnemo_marlin,individual,268,,standalone,M,,TRUE,FALSE,TRUE,Nemo,high
findingnemo,51,findingnemo_s002,findingnemo_s002_u0051,0.0417,MARLIN,MARLIN,findingnemo_marlin,Marlin,"Sometimes you can't tell 'cause fluid is rushing to the area. Now, any rushing fluids?",15,spoken,findingnemo_nemo,individual,272,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,52,findingnemo_s002,findingnemo_s002_u0052,0.0417,NEMO,NEMO,findingnemo_nemo,Nemo,No.,1,spoken,findingnemo_marlin,individual,276,,standalone,M,,TRUE,FALSE,TRUE,Nemo,high
findingnemo,53,findingnemo_s002,findingnemo_s002_u0053,0.0417,MARLIN,MARLIN,findingnemo_marlin,Marlin,Are you woozy?,3,spoken,findingnemo_nemo,individual,280,,standalone,M,,TRUE,TRUE,TRUE,Marlin,high
findingnemo,54,findingnemo_s002,findingnemo_s002_u0054,0.0417,NEMO,NEMO,findingnemo_nemo,Nemo,No.,1,spoken,findingnemo_marlin,individual,284,,standalone,M,,TRUE,FALSE,TRUE,Nemo,high
