film_id,event_id,scene_id,utterance_id,scene_position_pct,speaker,raw_speaker,character_id,canonical_name,text,word_count,utterance_type,addressee,addressee_type,line_number,parenthetical,cue_type,gender,gender_rationale,is_named,is_protagonist,included_in_network,parser_canonical_name
elemental_2023,2,elemental_2023_s002,elemental_2023_s002_u0002,0.0083,EARTH BOAT ANNOUNCER,EARTH BOAT ANNOUNCER (O.S.),elemental_2023_earth_boat_announcer,Earth Boat Announcer,"Please keep all limbs and branches inside. Next, a submarine rises from the water. The front pops open and water gushes out, into a puddle that is littered with hats and suitcases. After a beat, Water Elements emerge from the puddle and gather their stuff. Two WATER PASSENGERS trade briefcases.",50,spoken,,,40,,standalone,M,,0,0,0,Earth Boat Announcer
elemental_2023,3,elemental_2023_s002,elemental_2023_s002_u0003,0.0083,WATER PASSENGER 2,WATER PASSENGER 2,elemental_2023_water_passenger,Water Passenger,Ohp! I believe this is yours.,6,spoken,,,48,,standalone,F,,0,0,0,Water Passenger
elemental_2023,4,elemental_2023_s002,elemental_2023_s002_u0004,0.0083,WATER PASSENGER 1,WATER PASSENGER 1,elemental_2023_water_passenger,Water Passenger,"Oh, thanks! Bernie and Cinder try to take it all in. They look up to see a blimp land on a tall perch. A hatch opens and cloud-like Air Elements float out. As the passengers exit, the blimp deflates and lowers to the perch below, where more Air passengers float on board, causing it it puff back up. Bernie and Cinder join the crowd of Elements that walk into the immigration hall. They are the only Fire figures in the entire scene.",82,spoken,,,52,,standalone,F,,0,0,0,Water Passenger
elemental_2023,5,elemental_2023_s003,elemental_2023_s003_u0005,0.0167,WOOD IMMIGRATION OFFICIAL,WOOD IMMIGRATION OFFICIAL (O.S.),elemental_2023_wood_immigration_official,Wood Immigration Official,Next! It’s their turn for processing. They hurry over to a welcoming WOOD IMMIGRATION OFFICIAL,15,spoken,,,69,,standalone,M,,0,0,1,Wood Immigration Official
elemental_2023,6,elemental_2023_s003,elemental_2023_s003_u0006,0.0167,WOOD IMMIGRATION OFFICIAL,WOOD IMMIGRATION OFFICIAL,elemental_2023_wood_immigration_official,Wood Immigration Official,Your names?,2,spoken,,,73,,standalone,M,,0,0,1,Wood Immigration Official
elemental_2023,7,elemental_2023_s003,elemental_2023_s003_u0007,0.0167,BERNIE,BERNIE,elemental_2023_bernie,Bernie,Útrí dàr ì Bùrdì,4,spoken,,,75,,standalone,M,,1,0,1,Bernie
elemental_2023,8,elemental_2023_s003,elemental_2023_s003_u0008,0.0167,CINDER,CINDER,elemental_2023_cinder,Cinder,Fâsh ì Síddèr,3,spoken,,,77,,standalone,F,,1,0,1,Cinder
elemental_2023,9,elemental_2023_s003,elemental_2023_s003_u0009,0.0167,WOOD IMMIGRATION OFFICIAL,WOOD IMMIGRATION OFFICIAL,elemental_2023_wood_immigration_official,Wood Immigration Official,"Great! And how do we spell that? Bernie, eager, makes a series of fire sounds. The official’s smile drops a little, then bright:",23,spoken,,,79,,standalone,M,,0,0,1,Wood Immigration Official
elemental_2023,10,elemental_2023_s003,elemental_2023_s003_u0010,0.0167,WOOD IMMIGRATION OFFICIAL,WOOD IMMIGRATION OFFICIAL,elemental_2023_wood_immigration_official,Wood Immigration Official,"How ‘bout we just go with Bernie and Cinder! The official presses his nose onto an ink pad and then onto a document on the table, leaving an official stamp.",30,spoken,,,83,,standalone,M,,0,0,1,Wood Immigration Official
elemental_2023,11,elemental_2023_s003,elemental_2023_s003_u0011,0.0167,WOOD IMMIGRATION OFFICIAL,WOOD IMMIGRATION OFFICIAL,elemental_2023_wood_immigration_official,Wood Immigration Official,"Welcome to Element City! BIG DOORS OPEN revealing the bustling, busy city outside.",13,spoken,,,90,,standalone,M,,0,0,1,Wood Immigration Official
